dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.6666666666666667,0,stratified_fallback,48,12,63,0.7352237701416016
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.8333333333333334,0,stratified_fallback,48,12,63,0.7352237701416016
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.8333333333333333,0,stratified_fallback,48,12,63,0.7352237701416016
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,0.6666666666666667,0,stratified_fallback,48,12,63,0.4567687511444092
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,0.8333333333333334,0,stratified_fallback,48,12,63,0.4567687511444092
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,0.8333333333333333,0,stratified_fallback,48,12,63,0.4567687511444092
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,1.0,1,stratified_fallback,48,12,63,0.8018639087677002
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,1.0,1,stratified_fallback,48,12,63,0.8018639087677002
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,1.0,1,stratified_fallback,48,12,63,0.8018639087677002
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,1.0,1,stratified_fallback,48,12,63,0.4616208076477051
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,1.0,1,stratified_fallback,48,12,63,0.4616208076477051
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,1.0,1,stratified_fallback,48,12,63,0.4616208076477051
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.8333333333333334,2,stratified_fallback,48,12,63,0.7705819606781006
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.9166666666666666,2,stratified_fallback,48,12,63,0.7705819606781006
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,2,stratified_fallback,48,12,63,0.7705819606781006
