dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,kappa,1.0,3,48,12,48,0.355823278427124
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,accuracy,1.0,4,48,12,48,0.3523094654083252
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,balanced_accuracy,1.0,4,48,12,48,0.3523094654083252
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,kappa,1.0,4,48,12,48,0.3523094654083252
Miller2019-imagery_basic,jc,im,HighGamma+LDA,accuracy,0.9166666666666666,0,48,12,48,0.35527992248535156
Miller2019-imagery_basic,jc,im,HighGamma+LDA,balanced_accuracy,0.9285714285714286,0,48,12,48,0.35527992248535156
Miller2019-imagery_basic,jc,im,HighGamma+LDA,kappa,0.8333333333333334,0,48,12,48,0.35527992248535156
Miller2019-imagery_basic,jc,im,HighGamma+LDA,accuracy,0.9166666666666666,1,48,12,48,0.3581850528717041
Miller2019-imagery_basic,jc,im,HighGamma+LDA,balanced_accuracy,0.9,1,48,12,48,0.3581850528717041
Miller2019-imagery_basic,jc,im,HighGamma+LDA,kappa,0.8235294117647058,1,48,12,48,0.3581850528717041
Miller2019-imagery_basic,jc,im,HighGamma+LDA,accuracy,1.0,2,48,12,48,0.35662007331848145
Miller2019-imagery_basic,jc,im,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,48,0.35662007331848145
Miller2019-imagery_basic,jc,im,HighGamma+LDA,kappa,1.0,2,48,12,48,0.35662007331848145
Miller2019-imagery_basic,jc,im,HighGamma+LDA,accuracy,0.8333333333333334,3,48,12,48,0.35979700088500977
Miller2019-imagery_basic,jc,im,HighGamma+LDA,balanced_accuracy,0.8285714285714285,3,48,12,48,0.35979700088500977
Miller2019-imagery_basic,jc,im,HighGamma+LDA,kappa,0.6571428571428571,3,48,12,48,0.35979700088500977
Miller2019-imagery_basic,jc,im,HighGamma+LDA,accuracy,0.8333333333333334,4,48,12,48,0.35735154151916504
Miller2019-imagery_basic,jc,im,HighGamma+LDA,balanced_accuracy,0.8285714285714285,4,48,12,48,0.35735154151916504
Miller2019-imagery_basic,jc,im,HighGamma+LDA,kappa,0.6571428571428571,4,48,12,48,0.35735154151916504
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,accuracy,0.9166666666666666,0,48,12,64,0.4698667526245117
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,balanced_accuracy,0.9375,0,48,12,64,0.4698667526245117
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,kappa,0.8235294117647058,0,48,12,64,0.4698667526245117
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,accuracy,0.9166666666666666,1,48,12,64,0.47196459770202637
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,balanced_accuracy,0.9285714285714286,1,48,12,64,0.47196459770202637
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,kappa,0.8333333333333334,1,48,12,64,0.47196459770202637
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,accuracy,1.0,2,48,12,64,0.47017908096313477
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,64,0.47017908096313477
