dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-fingerflex,zt,0,HighGamma+Ridge,pearson_r,0.2728187110913676,2,chronological,9735,2438,61,10.83308720588684
Miller2019-fingerflex,zt,0,HighGamma+Ridge,r2,0.03464979527524679,2,chronological,9735,2438,61,10.83308720588684
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,pearson_r,0.2753588647028494,3,chronological,9735,2438,61,11.030246019363403
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,r2,-0.048565401195949987,3,chronological,9735,2438,61,11.030246019363403
Miller2019-fingerflex,zt,0,HighGamma+Ridge,pearson_r,0.3138161922411077,3,chronological,9735,2438,61,10.823722124099731
Miller2019-fingerflex,zt,0,HighGamma+Ridge,r2,0.033989923323469194,3,chronological,9735,2438,61,10.823722124099731
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,pearson_r,0.3141313737036286,4,chronological,9743,2439,61,11.044015169143677
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,r2,-0.0665781185242514,4,chronological,9743,2439,61,11.044015169143677
Miller2019-fingerflex,zt,0,HighGamma+Ridge,pearson_r,0.34470287632719304,4,chronological,9743,2439,61,10.837942123413086
Miller2019-fingerflex,zt,0,HighGamma+Ridge,r2,-0.020679630195818022,4,chronological,9743,2439,61,10.837942123413086
