dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,4,48,12,64,1.5695953369140625
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,4,48,12,64,1.5695953369140625
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,4,48,12,64,1.5695953369140625
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,0.75,4,48,12,64,0.4632680416107178
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,0.7571428571428571,4,48,12,64,0.4632680416107178
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,0.5,4,48,12,64,0.4632680416107178
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,0.9166666666666666,0,48,12,62,0.6280100345611572
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,0.9285714285714286,0,48,12,62,0.6280100345611572
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,0.8333333333333334,0,48,12,62,0.6280100345611572
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,0,48,12,62,0.45769643783569336
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,62,0.45769643783569336
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,0,48,12,62,0.45769643783569336
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,1.0,1,48,12,62,0.6455445289611816
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,1.0,1,48,12,62,0.6455445289611816
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,1.0,1,48,12,62,0.6455445289611816
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,1,48,12,62,0.45515894889831543
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,1,48,12,62,0.45515894889831543
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,1,48,12,62,0.45515894889831543
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,0.9166666666666666,2,48,12,62,0.5973522663116455
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,2,48,12,62,0.5973522663116455
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,0.8333333333333334,2,48,12,62,0.5973522663116455
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,2,48,12,62,0.4536871910095215
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,62,0.4536871910095215
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,2,48,12,62,0.4536871910095215
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,1.0,3,48,12,62,0.6054387092590332
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,1.0,3,48,12,62,0.6054387092590332
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,1.0,3,48,12,62,0.6054387092590332
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,3,48,12,62,0.45384716987609863
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,3,48,12,62,0.45384716987609863
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,3,48,12,62,0.45384716987609863
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,0.8333333333333334,4,48,12,62,0.6171708106994629
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,0.875,4,48,12,62,0.6171708106994629
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,0.6666666666666667,4,48,12,62,0.6171708106994629
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,0.8333333333333334,4,48,12,62,0.44996213912963867
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,0.875,4,48,12,62,0.44996213912963867
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,0.6666666666666667,4,48,12,62,0.44996213912963867
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,0,48,12,64,0.6422643661499023
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,0,48,12,64,0.6422643661499023
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,0,48,12,64,0.6422643661499023
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,0,48,12,64,0.46058058738708496
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,64,0.46058058738708496
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,0,48,12,64,0.46058058738708496
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,1,48,12,64,0.6230361461639404
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,1,48,12,64,0.6230361461639404
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,1,48,12,64,0.6230361461639404
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,1,48,12,64,0.4680628776550293
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,1,48,12,64,0.4680628776550293
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,1,48,12,64,0.4680628776550293
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,2,48,12,64,0.6152253150939941
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,2,48,12,64,0.6152253150939941
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,2,48,12,64,0.6152253150939941
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,2,48,12,64,0.46093058586120605
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,64,0.46093058586120605
